1000 1000
A 431 1500
B 431 432
Q 1000 823
B 1501 1500
A 744 1750
A 806 1828
B 1499 1500
Q 196 109
B 1703 1702
A 1872 840
A 731 1749
B 1748 1749
Q 432 903
B 841 840
A 211 1245
A 593 1652
B 1245 1244
Q 1501 1761
B 882 883
A 1426 402
A 924 1942
B 1648 1649
Q 840 1935
B 731 730
A 1105 112
A 1519 432
B 1172 1171
Q 1749 632
B 1942 1943
A 1066 53
A 1762 745
B 509 508
Q 1749 1055
B 594 593
A 933 1954
A 1234 208
B 1424 1423
Q 431 1949
B 1966 1967
A 452 1550
A 1883 847
B 743 744
Q 1445 1501
B 1751 1750
A 543 1638
A 1614 519
B 452 453
Q 1096 1967
B 112 111
A 1499 430
Q 453 1282
Q 510 1669
Q 1176 1244
Q 852 841
Q 219 841
Q 1399 1170
Q 20 431
Q 1298 1001
Q 1722 1702
Q 955 1276
Q 257 1172
Q 263 1568
Q 373 420
Q 827 1592
Q 20 870
Q 625 638
Q 753 190
Q 1942 1123
Q 294 937
Q 194 716
Q 317 50
Q 276 350
Q 1131 927
Q 1913 272
Q 1152 19
Q 1423 1801
Q 1689 1171
Q 1000 945
Q 1841 787
Q 909 786
Q 1370 1245
Q 1099 1751
Q 1501 220
Q 835 1423
Q 866 431
Q 573 348
Q 1769 1497
Q 884 1964
Q 1751 1651
Q 111 1199
Q 841 849
Q 1632 1642
Q 1172 112
Q 594 1407
Q 730 561
Q 1242 1202
Q 1406 1567
Q 362 431
Q 1310 10
Q 594 717
Q 238 134
Q 863 874
Q 1158 465
Q 1471 828
Q 431 173
Q 1058 1171
Q 225 135
Q 1000 1359
Q 985 959
Q 1472 738
Q 934 3
Q 1034 1060
Q 1245 1942
Q 111 1245
Q 848 1909
Q 89 1651
Q 1737 1708
Q 876 112
Q 594 596
Q 179 821
Q 611 431
Q 337 424
Q 1398 929
Q 1349 112
Q 840 1171
Q 594 1439
Q 1001 1304
Q 573 295
Q 771 1648
Q 1903 1595
Q 840 1573
Q 714 681
Q 505 475
Q 62 606
Q 593 954
Q 739 731
Q 509 1476
Q 1208 1349
Q 1529 1103
Q 838 840
Q 1057 383
Q 1172 356
Q 742 734
Q 1169 1047
Q 1023 1245
Q 882 854
Q 1523 176
Q 1384 1723
Q 1748 1648
Q 577 593
Q 1688 1967
Q 1806 1834
Q 964 1245
Q 784 1625
Q 593 974
Q 1649 840
Q 1720 1245
Q 719 141
Q 1930 1385
Q 1524 84
Q 834 112
Q 1390 743
Q 883 509
Q 112 895
Q 1847 1001
Q 509 1537
Q 1076 1118
Q 112 408
Q 1171 1105
Q 1751 594
Q 1578 112
Q 1658 431
Q 1156 1171
Q 593 1738
Q 375 249
Q 1029 1171
Q 1096 1058
Q 1423 1101
Q 1001 1117
Q 1001 594
Q 1501 185
Q 820 1000
Q 1244 1810
Q 841 62
Q 1245 637
Q 970 154
Q 1 39
Q 889 806
Q 2000 1360
Q 1272 1781
Q 1171 311
Q 1287 1499
Q 453 763
Q 441 1481
Q 431 309
Q 730 1703
Q 304 247
Q 1583 1424
Q 1097 1838
Q 1699 1649
Q 840 1942
Q 153 1044
Q 431 318
Q 1 854
Q 1474 139
Q 593 589
Q 1738 1366
Q 85 17
Q 1751 593
Q 1967 111
Q 1499 1180
Q 1211 319
Q 1188 605
Q 1640 1831
Q 1032 1000
Q 431 1648
Q 933 379
Q 1590 23
Q 111 744
